City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Denpasar,ID,2021-11-18 17:30:15,-8.65,115.2167,78.46,94,75,11.5
275,Portland,US,2021-11-18 17:26:36,45.5234,-122.6762,47.75,75,90,1.01
276,Bilma,NE,2021-11-18 17:31:24,18.6853,12.9164,82.89,15,0,8.97
277,Teya,RU,2021-11-18 17:31:25,60.3778,92.6267,15.03,87,100,10.51
278,Garoua,CM,2021-11-18 17:31:28,9.3,13.4,88.7,21,3,2.71
279,Longyearbyen,SJ,2021-11-18 17:31:31,78.2186,15.6401,22.84,68,75,23.02
280,Saint-Joseph,RE,2021-11-18 17:31:32,-21.3667,55.6167,75.58,72,26,13.4
281,Esmeralda,CU,2021-11-18 17:31:33,21.8525,-78.1169,88.84,58,13,11.21
282,Lorengau,PG,2021-11-18 17:31:34,-2.0226,147.2712,81.0,76,90,7.11
283,Mahibadhoo,MV,2021-11-18 17:31:35,3.7833,72.9667,82.35,77,79,17.98
284,Rogaska Slatina,SI,2021-11-18 17:31:36,46.2375,15.6397,43.23,93,78,2.39
285,Upernavik,GL,2021-11-18 17:31:37,72.7868,-56.1549,8.74,85,99,6.64
286,Leh,IN,2021-11-18 17:31:38,34.1667,77.5833,21.45,72,61,2.77
287,Senno,RU,2021-11-18 17:31:39,59.5336,33.9167,31.26,97,100,12.12
288,Lundazi,ZM,2021-11-18 17:31:39,-12.2929,33.1782,75.69,43,40,6.98
289,Cockburn Town,TC,2021-11-18 17:31:40,21.4612,-71.1419,84.16,61,40,17.27
290,Bougouni,ML,2021-11-18 17:31:41,11.417,-7.479,86.68,22,26,4.52
291,Naze,JP,2021-11-18 17:31:42,28.3667,129.4833,64.49,91,100,15.52
292,Cabo San Lucas,MX,2021-11-18 17:29:00,22.8909,-109.9124,86.31,36,1,5.75
293,Tezu,IN,2021-11-18 17:31:44,27.9167,96.1667,63.23,46,10,4.5
294,Port Hawkesbury,CA,2021-11-18 17:31:45,45.6169,-61.3485,40.59,96,90,8.99
