City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,Itarema,BR,82.89,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
595,Taiobeiras,BR,70.09,very heavy rain,-15.8078,-42.2331,Dallas Hotel
598,Emerald,AU,76.98,broken clouds,-23.5333,148.1667,The Irish Village
605,Baiao,BR,81.23,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
610,Tabon,PH,77.67,few clouds,9.2388,117.9946,Port Lodge
611,Acarau,BR,83.66,few clouds,-2.8856,-40.12,castelo pizzaria
612,Laurinburg,US,71.56,clear sky,34.7741,-79.4628,"Holiday Inn Express & Suites Laurinburg, an IHG Hotel"
615,Iralaya,HN,84.29,overcast clouds,15.0,-83.2333,Iglesia morava renovada
617,Mayumba,GA,78.84,overcast clouds,-3.432,10.6554,LIKWALE LODGE
619,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
620,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
629,Santa Cruz Cabralia,BR,73.63,mist,-16.2781,-39.0247,Puerto Princesa Inn
633,Tuni,IN,75.85,clear sky,17.35,82.55,Sai Krishna Lodge
637,Farafangana,MG,74.89,light rain,-22.8167,47.8333,Miarina
641,Kailua,US,84.18,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
642,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
646,Marigot,MF,83.98,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
649,San Juan De Los Morros,VE,84.22,overcast clouds,9.9115,-67.3538,Hotel La Montaña
651,Sarangani,PH,83.39,broken clouds,5.4033,125.4636,Ballistic Islet
655,Marsh Harbour,BS,77.45,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
656,Ngunut,ID,76.21,overcast clouds,-8.1058,112.0159,JON MALAKAM
657,Agbor,NG,76.86,overcast clouds,6.2518,6.1934,MIRAMAS HOTEL
661,Buluang,PH,76.64,few clouds,13.3068,123.3425,Enon Beach Resort
664,Matamoros,MX,80.71,broken clouds,25.5333,-103.25,Quinta Belem
665,Soure,BR,82.26,scattered clouds,-0.7167,-48.5233,Casarão da Amazônia
666,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
667,Celestun,MX,79.81,scattered clouds,20.8667,-90.4,Posada Lilia
669,Ambon,ID,81.52,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
671,Rodrigues Alves,BR,80.8,overcast clouds,-7.738,-72.6509,Pousada Aconchego
676,Canavieiras,BR,82.36,light rain,-15.675,-38.9472,Bahiadomizil
681,Kamalasai,TH,77.23,broken clouds,16.3384,103.5756,กาฬสินธุ์ โฮมสเตย์
682,Morro Bay,US,84.65,clear sky,35.3658,-120.8499,Inn at Morro Bay
683,Corn Island,NI,81.19,overcast clouds,12.1694,-83.0418,Big Fish Guest House
